(12, 26)
(15, 21)
(0, 25)
(12, 0)
(16, 0)
(0, 27)
(0, 21)
(0, 23)
(0, 23)
(0, 27)
(15, 0)
(0, 21)
(0, 27)
(16, 0)
(0, 27)
(16, 0)
(0, 26)
(17, 0)
(13, 0)
(0, 23)
(17, 0)
(15, 0)
(0, 27)
(13, 0)
(12, 0)
(11, 0)
(0, 21)
(14, 0)
(0, 26)
(13, 0)
(16, 0)
(0, 22)
(14, 0)
(0, 27)
(17, 0)
(0, 21)
(0, 22)
(16, 0)
(0, 24)
(17, 0)
(0, 26)
(15, 0)
(0, 22)
(13, 0)
(0, 24)
(15, 0)
(0, 23)
(17, 0)
(0, 25)
(16, 0)
(0, 24)
(14, 0)
(0, 22)
(13, 0)
(15, 0)
(0, 21)
(0, 23)
(14, 0)
(0, 22)
(11, 0)
(13, 0)
(0, 21)
(12, 0)
(11, 0)
END
